Feature,Importance
TotalCharges,0.1899990864787716
MonthlyCharges,0.17717252014566204
tenure,0.15956142388283773
Contract,0.07746059636376451
PaymentMethod,0.05032684214379326
OnlineSecurity,0.0479752769813175
TechSupport,0.04040605103305616
gender,0.027587973916497983
OnlineBackup,0.02679188408947939
InternetService,0.026274611679822844
PaperlessBilling,0.025903092002577593
Partner,0.023862268437990778
MultipleLines,0.023198537418442404
DeviceProtection,0.0214868746666118
SeniorCitizen,0.020602069360692907
Dependents,0.020493381831065315
StreamingMovies,0.018304982186691417
StreamingTV,0.017336360599223763
PhoneService,0.005256166781701041
